Name,Chara1,Chara2,Chara3,Chara4,Chara5,Chara6,Chara7,Chara8
Ocean Odyssey,Fresh,Marine,Salty,Mineral,Liberating,Relaxing,Free-Spirited,
Bergamot Blast,Fresh,Citrus,Juicy,Floral,Optimistic,Joyful,Confident,
Sage Supreme,Fresh,Green,Aromatic,Woody,Confident,Stylish,,
Rose Ritual,Fresh,Fruity,Floral,Musky,Elegant,Charming,Romantic,
Amber Affair,Spicy,Resinous,Ambery,Vanilla,Magnetic,Glamorours,Hypnotic,
Sleek Sandalwood,Woody,Suave,Warm,Musky,Sensuous,Voluptous,Chic,
Vanilla Venus,Sweet,Spicy,Warm,Leathery,Attractive,Addictive,Aphrodisiac,
Mimosa Mantra,Floral,Marine,Powdery,Musky,Radiant,Optimistic,Sunny,
Terrific Tonka,Nutty,Woody,Powdery,Gourmand,Addictive,Lovely,Comforting,
Jazzy Jasmine,Fruity,Green,Floral,Musky,Alluring,Bright,Gracious,
Tea Time,Fresh,Citrus,Floral,Musky,Natural,Authentic,Balanced,Green
Lavender Legend,Fresh,Aromatic,Floral,Woody,Calming,Peaceful,Assured,
